name,N,chi2,chi2N
UGC08550,11,5.176812912949977,0.4706193557227252
UGC08699,41,2513.4935502960257,61.30472073892746
UGC08837,8,7.938580066570895,0.9923225083213619
UGC09037,22,3822.361920790169,173.7437236722804
UGC09133,68,8928.565844290933,131.30243888663136
UGC09992,5,3.589005225064352,0.7178010450128703
UGC10310,7,20.75562586965968,2.965089409951383
UGC11455,36,8609.29860035685,239.1471833432458
UGC11557,12,600.4208921135172,50.0350743427931
UGC11820,10,30.175136438555075,3.0175136438555077
UGC11914,65,3905.012360918424,60.077113244898825
UGC12506,31,1691.1184109935907,54.55220680624486
UGC12632,15,34.94104014322554,2.3294026762150364
UGC12732,16,54.990441813063,3.4369026133164375
UGCA281,7,1.0083521021763187,0.14405030031090266
UGCA442,8,2.968930057689155,0.3711162572111444
UGCA444,36,18.435472040347527,0.5120964455652091
